class_code,subject_code,subject_name,professor,start_period,end_period,created_by,week_day,start_time,end_time,building,classroom,floor
2023250,MAC0122,Princípios de Desenvolvimento de Algoritmos,,2023-08-07,2023-12-21,eletrica_crawler,qua,09:20,11:00,eletrica,C1-30,0
2023254,MAC0122,Princípios de Desenvolvimento de Algoritmos,,2023-08-07,2023-12-21,eletrica_crawler,ter,19:20,21:00,eletrica,,0
2023254,MAC0122,Princípios de Desenvolvimento de Algoritmos,,2023-08-07,2023-12-21,eletrica_crawler,qui,21:10,22:50,eletrica,,0
2023201,PEA3100,"Energia, Meio Ambiente e Sustentabilidade",,2023-08-07,2023-12-21,eletrica_crawler,seg,15:00,16:40,eletrica,C1-30,0
2023201,PEA3100,"Energia, Meio Ambiente e Sustentabilidade",,2023-08-07,2023-12-21,eletrica_crawler,sex,15:00,16:40,eletrica,C1-30,0
2023201,PSI3024,Eletrônica,,2023-08-07,2023-12-21,eletrica_crawler,seg,09:20,11:00,eletrica,C1-30,0
2023201,PSI3024,Eletrônica,,2023-08-07,2023-12-21,eletrica_crawler,sex,07:30,09:10,eletrica,D1-03,0
2023250,PCS3746,Sistemas Operacionais,,2023-05-02,2023-08-18,eletrica_crawler,seg,14:00,15:40,eletrica,C1-49,0
2023250,PCS3746,Sistemas Operacionais,,2023-05-02,2023-08-18,eletrica_crawler,sex,10:20,12:00,eletrica,C1-49,0
2023201,PCS3225,Sistemas Digitais II,,2023-08-07,2023-12-21,eletrica_crawler,seg,13:10,14:50,eletrica,"D1-01,D1-02,D1-04",0
2023201,PCS3225,Sistemas Digitais II,,2023-08-07,2023-12-21,eletrica_crawler,qua,15:00,16:40,eletrica,"D1-01,D1-02,D1-04",0
